Date: 2020-06-07 23:50:47s, Time_Cost: 130s, Epoch: [89/100], Train_PSNR: 28.83, Val_PSNR: 22.92, Val_SSIM: 0.7719
Date: 2020-06-07 23:52:57s, Time_Cost: 130s, Epoch: [90/100], Train_PSNR: 29.00, Val_PSNR: 23.09, Val_SSIM: 0.7770
Date: 2020-06-07 23:55:08s, Time_Cost: 130s, Epoch: [91/100], Train_PSNR: 28.96, Val_PSNR: 23.02, Val_SSIM: 0.7819
Date: 2020-06-07 23:57:19s, Time_Cost: 131s, Epoch: [92/100], Train_PSNR: 28.87, Val_PSNR: 22.75, Val_SSIM: 0.7788
Date: 2020-06-07 23:59:29s, Time_Cost: 130s, Epoch: [93/100], Train_PSNR: 28.99, Val_PSNR: 22.93, Val_SSIM: 0.7806
Date: 2020-06-08 00:01:39s, Time_Cost: 130s, Epoch: [94/100], Train_PSNR: 29.14, Val_PSNR: 22.97, Val_SSIM: 0.7851
Date: 2020-06-08 00:03:49s, Time_Cost: 130s, Epoch: [95/100], Train_PSNR: 29.08, Val_PSNR: 22.92, Val_SSIM: 0.7769
Date: 2020-06-08 00:06:00s, Time_Cost: 131s, Epoch: [96/100], Train_PSNR: 29.05, Val_PSNR: 23.06, Val_SSIM: 0.7827
Date: 2020-06-08 00:08:09s, Time_Cost: 130s, Epoch: [97/100], Train_PSNR: 28.92, Val_PSNR: 23.09, Val_SSIM: 0.7846
Date: 2020-06-08 00:10:19s, Time_Cost: 130s, Epoch: [98/100], Train_PSNR: 29.04, Val_PSNR: 23.01, Val_SSIM: 0.7848
Date: 2020-06-08 00:12:30s, Time_Cost: 130s, Epoch: [99/100], Train_PSNR: 29.17, Val_PSNR: 22.84, Val_SSIM: 0.7741
Date: 2020-06-08 00:14:40s, Time_Cost: 130s, Epoch: [100/100], Train_PSNR: 29.15, Val_PSNR: 23.15, Val_SSIM: 0.7849
Date: 2020-06-08 08:00:29s, Time_Cost: 125s, Epoch: [1/200], Train_PSNR: 28.79, Val_PSNR: 23.17, Val_SSIM: 0.7841
Date: 2020-06-08 08:02:35s, Time_Cost: 127s, Epoch: [2/200], Train_PSNR: 28.86, Val_PSNR: 23.10, Val_SSIM: 0.7834
